Name,Party,State,Birth_Year,Children_Count,Race,Gender,V1,V2,V3,V4,AIPAC,CongressDistrict,PVI,JewishPop,AIPAC_norm,Age_2024,CD_CODE,V1_pro-Israel,V1_pro-Palestine,V2_pro-Israel,V2_pro-Palestine,V3_pro-Israel,V3_pro-Palestine,V4_pro-Israel,V4_pro-Palestine,CD_ID,Own_Israel_V1,Own_Palestine_V1,Neighbor_Israel_V1,Neighbor_Palestine_V1,Region_Israel_V1,Region_Palestine_V1,Own_Israel_V2,Own_Palestine_V2,Neighbor_Israel_V2,Neighbor_Palestine_V2,Region_Israel_V2,Region_Palestine_V2,Own_Israel_V3,Own_Palestine_V3,Neighbor_Israel_V3,Neighbor_Palestine_V3,Region_Israel_V3,Region_Palestine_V3,Own_Israel_V4,Own_Palestine_V4,Neighbor_Israel_V4,Neighbor_Palestine_V4,Region_Israel_V4,Region_Palestine_V4,CD_Total_Students,CD_Men,CD_Women,CD_White,CD_Black,CD_Hispanic,CD_Asian,CD_NativeAm,CD_Pacific,CD_Multi,CD_Intl,Neighbor_Students,Stance_UpTo_V1,Stance_UpTo_V2,Stance_UpTo_V3,Average_Stance_Israel
Mike Simpson,Rep,Idaho,1950,0,White,Male,1,1,1,1,33400,ID-02,0.145,0.003,-0.5507900525195665,74,ID-02,34,3,36,25,36,40,38,106,ID-02,34,3,7,6,41,9,36,25,7,40,43,65,36,40,8,63,44,103,38,106,11,93,49,199,101833,43612,58221,58959,1172,13322,1412,486,377,2885,2096,260653,1,0.8,0.6666666666666666,0.6666666666666666
Jonathan Jackson,Dem,Illinois,1966,3,Black,Male,0,0,0,0,20800,IL-01,-0.2038,0.012,-0.5981289974698969,58,IL-01,0,0,0,0,0,0,0,0,IL-01,0,0,3,25,3,25,0,0,4,110,4,110,0,0,22,160,22,160,0,0,34,224,34,224,30971,16605,14366,7609,3110,3248,3707,40,7,1000,10857,336534,0.25,-0.1333333333333333,-0.1333333333333333,-0.1333333333333333
Robin Kelly,Dem,Illinois,1956,2,Black,Female,0,0,1,0,108872,IL-02,-0.1875,0.011,-0.2672372863853334,68,IL-02,0,0,0,0,0,0,0,0,IL-02,0,0,3,148,3,148,0,0,3,169,3,169,0,0,3,173,3,173,0,0,4,187,4,187,23305,9482,13823,7107,8489,4626,334,65,71,796,874,234085,0,0,0,0
Delia Ramirez,Dem,Illinois,1983,0,Hispanic,Female,0,0,0,0,13625,IL-03,-0.198,0.018,-0.625085896677724,41,IL-03,0,1,0,2,0,7,0,7,IL-03,0,0,2,25,2,25,0,0,3,112,3,112,0,5,21,160,21,165,0,5,33,222,33,227,5674,2379,3295,2784,414,1098,445,14,6,225,477,325072,-0.6666666666666666,-0.6388888888888888,-0.6904761904761905,-0.6904761904761905
Chuy García,Dem,Illinois,1956,3,Hispanic,Male,0,0,0,0,22410,IL-04,-0.2246,0.003,-0.5920801322817991,68,IL-04,0,0,0,1,0,1,0,2,IL-04,0,0,2,25,2,25,0,1,3,108,3,109,0,1,21,159,21,160,0,2,33,219,33,221,22394,11213,11181,3619,2719,14235,352,25,21,379,128,236280,-0.1666666666666667,-0.5833333333333334,-0.5833333333333334,-0.5833333333333334
Mike Quigley,Dem,Illinois,1958,2,White,Male,0,0,1,0,246336,IL-05,-0.1834,0.071,0.2492230889045254,66,IL-05,0,0,0,0,0,0,0,0,IL-05,0,0,7,26,7,26,0,0,10,112,10,112,0,0,32,167,32,167,0,0,49,235,49,235,22327,9928,12399,5901,1819,9713,2634,29,33,645,757,231412,1,1,0.6666666666666666,0.6666666666666666
Sean Casten,Dem,Illinois,1971,2,White,Male,0,0,1,0,208532,IL-06,-0.0327,0.01,0.107191225817042,53,IL-06,0,3,0,9,0,9,0,9,IL-06,0,4,0,0,0,4,0,10,0,2,0,12,0,10,0,9,0,19,0,10,0,10,0,20,83421,33880,49541,33440,15324,19968,5050,363,185,2593,1382,80726,0.1538461538461539,0.1052631578947368,0.1,0.1
Danny Davis,Dem,Illinois,1941,2,Black,Male,0,0,1,0,65484,IL-07,-0.3572,0.035,-0.4302485676158839,83,IL-07,2,21,3,98,21,144,33,204,IL-07,2,21,0,0,2,21,3,98,0,1,3,99,21,144,0,6,21,150,33,204,0,7,33,211,116214,43573,72641,33909,19679,33215,11561,138,66,3775,10592,81366,1,1,1,1
Raja Krishnamoorthi,Dem,Illinois,1973,3,Asian,Male,0,0,1,0,268730,IL-08,-0.06,0.014,0.3333586709059301,51,IL-08,0,0,0,1,0,1,0,2,IL-08,0,0,5,5,5,5,0,2,7,13,7,15,0,2,11,24,11,26,0,3,16,31,16,34,59029,14732,44297,24317,9470,15074,5286,225,381,1258,600,100183,NA,NA,NA,NA
Jan Schakowsky,Dem,Illinois,1944,2,Jewish,Female,0,0,1,0,742008,IL-09,-0.1944,0.116,2.111492098541048,80,IL-09,5,5,7,12,11,17,16,24,IL-09,5,5,3,0,8,5,7,12,4,4,11,16,11,16,11,6,22,22,16,23,13,8,29,31,50495,19503,30992,17790,4618,10380,6765,59,30,2141,5987,121276,0.2,0,0,0
Brad Schneider,Dem,Illinois,1961,2,Jewish,Male,0,1,1,0,1337139,IL-10,-0.1098,0.117,4.347434451496214,63,IL-10,3,0,4,1,11,1,13,2,IL-10,3,0,6,6,9,6,4,1,8,20,12,21,11,1,12,27,23,28,13,2,17,37,30,39,18233,7872,10361,6185,1340,6949,1544,31,22,557,919,118173,0.4242424242424243,0.4929577464788732,0.4938271604938271,0.4938271604938271
Bill Foster,Dem,Illinois,1955,2,White,Male,0,0,1,0,551994,IL-11,-0.053,0.015,1.397598266335327,69,IL-11,0,0,0,1,0,2,0,2,IL-11,0,0,9,9,9,9,0,1,12,25,12,26,0,3,23,36,23,39,0,3,30,48,30,51,21687,8624,13063,11202,1236,5992,1083,62,22,686,239,317336,NA,NA,-1,-1
Mike Bost,Rep,Illinois,1960,3,White,Male,1,1,1,1,159793,IL-12,0.2397,0.002,-0.07592407878090675,64,IL-12,0,0,0,11,0,21,0,31,IL-12,0,0,2,147,2,147,0,11,3,164,3,175,0,21,4,171,4,192,0,31,8,197,8,228,41922,18670,23252,29203,4992,2580,567,129,42,1606,1110,243378,0.7,0.8,0.8,0.8
Nikki Budzinski,Dem,Illinois,1977,0,White,Female,0,0,1,0,205064,IL-13,-0.0344,0.005,0.09416174477833202,47,IL-13,1,3,1,8,2,12,5,34,IL-13,1,3,6,154,7,157,1,8,15,205,16,213,2,12,16,297,18,309,5,34,17,406,22,440,92882,45962,46920,41171,7885,9151,12401,136,51,3330,15485,217170,NA,0,0,0
Lauren Underwood,Dem,Illinois,1986,0,Black,Female,0,0,1,0,75593,IL-14,-0.0356,0.004,-0.3922684569410513,38,IL-14,0,0,0,0,0,2,0,5,IL-14,0,0,1,0,1,0,0,0,1,1,1,1,0,2,1,3,1,5,0,5,1,3,1,8,54329,23595,30734,25359,6054,15607,2218,168,49,1228,2443,67842,NA,NA,NA,NA
Mary Miller,Rep,Illinois,1959,7,White,Female,1,1,1,1,5250,IL-15,0.2195,0.003,-0.6565512668332015,65,IL-15,0,144,0,151,0,151,0,151,IL-15,0,144,8,12,8,156,0,151,13,72,13,223,0,151,14,167,14,318,0,151,20,307,20,458,20122,8885,11237,13503,2282,1424,445,91,9,550,1050,420360,NA,0.3076923076923077,0.2,0.2
Darin LaHood,Rep,Illinois,1968,3,Arab,Male,1,1,1,NA,5000,IL-16,0.1346,0.004,-0.6574905316139621,56,IL-16,1,0,1,0,1,0,1,0,IL-16,1,0,8,165,9,165,1,0,13,249,14,249,1,0,21,291,22,291,1,0,29,359,30,359,15184,6047,9137,10079,1851,1473,355,29,7,923,335,505687,0.5,0.5,0.4705882352941176,0.4705882352941176
Eric Sorensen,Dem,Illinois,1976,0,White,Male,0,1,1,NA,210332,IL-17,-0.0191,0.004,0.1139539322385178,48,IL-17,0,4,0,12,0,18,0,27,IL-17,0,4,3,147,3,151,0,12,5,178,5,190,0,18,5,191,5,209,0,27,7,209,7,236,57516,23513,34003,34038,7320,8389,1595,107,41,1909,2731,88072,NA,NA,NA,NA
Frank J. Mrvan,Dem,Indiana,1969,2,White,Male,0,1,1,0,71339,IN-01,-0.0277,0.006,-0.4082509864504724,55,IN-01,0,0,0,0,0,0,0,0,IN-01,0,0,2,6,2,6,0,0,2,24,2,24,0,0,2,30,2,30,0,0,2,48,2,48,16284,6635,9649,7772,2155,3831,514,23,8,549,829,180230,1,1,1,1
Rudy Yakym,Rep,Indiana,1984,3,White,Male,1,1,1,1,113793,IN-02,0.1395,0.003,-0.2487487984408432,40,IN-02,1,2,1,6,1,10,1,15,IN-02,1,2,2,8,3,10,1,6,2,43,3,49,1,10,2,56,3,66,1,15,2,80,3,95,26833,11724,15109,15711,1561,4008,987,51,37,1194,2370,223545,0.8333333333333334,0.8888888888888888,0.9,0.9
Jim Banks,Rep,Indiana,1979,3,White,Male,1,1,1,1,368705,IN-03,0.1797,0.002,0.7089706567320638,45,IN-03,0,3,0,20,0,30,0,40,IN-03,0,3,6,13,6,16,0,20,6,73,6,93,0,30,6,113,6,143,0,40,6,172,6,212,31493,16460,15033,14186,2289,1917,629,73,21,815,10553,211075,1,0.7647058823529411,0.7894736842105263,0.7894736842105263
Jim Baird,Rep,Indiana,1945,3,White,Male,1,1,1,1,19000,IN-04,0.1772,0.002,-0.6048917038913727,79,IN-04,1,4,1,18,1,20,1,33,IN-04,1,4,6,9,7,13,1,18,7,31,8,49,1,20,16,49,17,69,1,33,20,188,21,221,107476,53953,53523,54584,10854,11576,9757,290,198,4554,10703,381401,0.75,0.8461538461538461,0.8571428571428571,0.8571428571428571
Victoria Spartz,Rep,Indiana,1978,2,White,Female,1,1,1,1,89411,IN-05,0.1121,0.012,-0.3403534139788556,46,IN-05,1,1,1,5,1,6,1,7,IN-05,1,1,4,14,5,15,1,5,4,59,5,64,1,6,12,78,13,84,1,7,12,168,13,175,45676,16669,29007,28193,5833,3335,921,102,38,1447,4351,336728,NA,NA,NA,NA
Greg Pence,Rep,Indiana,1956,4,White,Male,1,1,1,1,46700,IN-06,0.1918,0.002,-0.5008211661831066,68,IN-06,0,0,0,1,0,1,0,1,IN-06,0,0,5,15,5,15,0,1,6,65,6,66,0,1,15,91,15,92,0,1,18,250,18,251,10448,3722,6726,6726,1057,917,316,14,8,443,656,424762,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
André Carson,Dem,Indiana,1974,1,Black,Male,0,0,0,0,3000,IN-07,-0.1895,0.011,-0.6650046498600463,50,IN-07,2,5,2,14,10,17,10,79,IN-07,2,5,2,5,4,10,2,14,2,24,4,38,10,17,2,27,12,44,10,79,2,41,12,120,160478,67016,93462,104651,19770,7930,5696,1124,301,7020,2101,163600,-0.1764705882352941,-0.4482758620689655,-0.5294117647058824,-0.5294117647058824
Larry Bucshon,Rep,Indiana,1962,4,White,Male,1,1,1,1,26000,IN-08,0.1903,0.001,-0.5785922900300781,62,IN-08,1,0,1,0,1,2,2,3,IN-08,1,0,3,150,4,150,1,0,4,188,5,188,1,2,5,208,6,210,2,3,8,302,10,305,44048,20442,23606,29350,4228,4136,1351,165,54,1699,1028,324311,0,0.6,0.6,0.6
Erin Houchin,Rep,Indiana,1976,3,White,Female,1,1,1,1,23400,IN-09,0.1618,0.002,-0.5883606437499875,48,IN-09,1,1,2,5,3,13,6,83,IN-09,1,1,6,10,7,11,2,5,6,34,8,39,3,13,6,43,9,56,6,83,7,66,13,149,54329,26446,27883,34383,2522,4279,4833,58,56,2693,5042,306568,0.6428571428571429,0.7368421052631579,0.7368421052631579,0.7368421052631579
Mariannette Miller-Meeks,Rep,Iowa,1955,2,White,Female,1,1,1,1,66468,IA-01,0.0349,0.002,-0.4265516214388104,69,IA-01,2,3,4,27,4,40,6,58,IA-01,2,3,2,154,4,157,4,27,2,178,6,205,4,40,3,187,7,227,6,58,4,199,10,257,52766,22982,29784,36257,2518,4710,2041,178,69,1993,2646,284999,0.8823529411764706,0.88,0.8571428571428571,0.8571428571428571
Ashley Hinson,Rep,Iowa,1983,2,White,Female,1,1,1,1,108044,IA-02,0.0428,0.002,-0.2703481313392122,41,IA-02,0,4,0,7,1,8,1,9,IA-02,0,4,6,5,6,9,0,7,8,44,8,51,1,8,8,68,9,76,1,9,12,107,13,116,52984,22741,30243,37425,3792,3558,922,164,97,1712,1840,244736,0.8571428571428571,0.7272727272727273,0.7297297297297297,0.7297297297297297
Zach Nunn,Rep,Iowa,1979,6,White,Male,1,1,1,1,98222,IA-03,0.0252,0.003,-0.3072499660457317,45,IA-03,0,2,0,7,0,9,0,10,IA-03,0,2,3,3,3,5,0,7,5,28,5,35,0,9,5,41,5,50,0,10,8,60,8,70,39284,16534,22750,27094,2728,3461,1648,161,49,976,534,152675,NA,NA,NA,NA
Randy Feenstra,Rep,Iowa,1969,4,White,Male,1,1,1,1,39063,IA-04,0.1552,0.001,-0.5295138267057791,55,IA-04,1,0,1,1,1,1,2,2,IA-04,1,0,7,16,8,16,1,1,10,75,11,76,1,1,11,111,12,112,2,2,13,144,15,146,63364,30714,32650,42685,2701,6000,1764,300,98,1967,3973,423140,1,1,1,1
Tracey Mann,Rep,Kansas,1976,4,White,Male,1,1,1,1,62657,KS-01,0.1787,0.001,-0.4408697737567239,48,KS-01,0,3,0,6,0,9,1,16,KS-01,0,3,0,1,0,4,0,6,0,10,0,16,0,9,1,34,1,43,1,16,3,46,4,62,90949,40771,50178,57546,4349,11436,3075,1484,153,3672,3624,185803,NA,NA,NA,NA
Jake LaTurner,Rep,Kansas,1988,4,White,Male,1,1,1,1,36280,KS-02,0.10780000000000001,0.001,-0.5399697222452052,36,KS-02,0,0,0,2,0,3,1,4,KS-02,0,0,1,8,1,8,0,2,1,32,1,34,0,3,3,68,3,71,1,4,5,96,6,100,42773,18413,24360,26946,3531,5738,673,484,70,2321,1309,387285,NA,NA,NA,NA
Sharice Davids,Dem,Kansas,1980,0,Native American,Female,0,0,1,0,236506,KS-03,0.01,0.021,0.2122911977250216,44,KS-03,1,0,1,0,1,0,1,0,KS-03,1,0,0,3,1,3,1,0,0,16,1,16,1,0,0,27,1,27,1,0,1,38,2,38,23941,10612,13329,14293,1732,3212,1136,181,196,1401,681,119138,NA,NA,NA,NA
Ron Estes,Rep,Kansas,1956,3,White,Male,1,1,1,1,51725,KS-04,0.1399,0.002,-0.4819419440898201,68,KS-04,0,1,0,8,1,30,1,40,KS-04,0,1,0,3,0,4,0,8,0,8,0,16,1,30,0,13,1,43,1,40,3,22,4,62,42506,18257,24249,22878,3491,6820,2068,432,79,1687,3625,232913,NA,NA,NA,NA
James Comer,Rep,Kentucky,1972,3,White,Male,1,1,1,1,66610,KY-01,0.2402,0,-0.4260181190433385,52,KY-01,0,0,0,2,0,2,0,2,KY-01,0,0,7,8,7,8,0,2,9,33,9,35,0,2,17,87,17,89,0,2,20,122,20,124,41561,17842,23719,25565,4048,1813,466,77,29,1400,6087,421059,NA,0,-0.5,-0.5
Brett Guthrie,Rep,Kentucky,1964,3,White,Male,1,1,1,1,21800,KY-02,0.2115,0.001,-0.5943719383468549,60,KY-02,1,1,1,1,1,1,1,2,KY-02,1,1,5,5,6,6,1,1,6,18,7,19,1,1,7,31,8,32,1,2,11,107,12,109,35596,13835,21761,26528,2871,2329,1014,93,49,1569,244,223628,0.75,0.8571428571428571,0.8666666666666667,0.8666666666666667
Morgan McGarvey,Dem,Kentucky,1979,3,White,Male,0,0,1,0,96013,KY-03,-0.086,0.016,-0.3155493096485317,45,KY-03,3,4,3,9,3,11,3,13,KY-03,3,4,2,2,5,6,3,9,3,8,6,17,3,11,4,17,7,28,3,13,7,91,10,104,55348,22344,33004,31489,9096,4601,2478,109,77,2363,1649,118267,0.375,0.1538461538461539,0.1538461538461539,0.1538461538461539
Thomas Massie,Rep,Kentucky,1971,4,White,Male,0,0,0,NA,0,KY-04,0.1933,0.003,-0.6762758272291726,53,KY-04,0,0,0,2,0,3,0,6,KY-04,0,0,6,11,6,11,0,2,7,34,7,36,0,3,8,53,8,56,0,6,13,138,13,144,28342,10934,17408,21636,2494,1388,480,47,43,1107,627,442489,-0.75,-0.7368421052631579,-0.7368421052631579,-0.7368421052631579
Hal Rogers,Rep,Kentucky,1937,3,White,Male,1,1,1,1,129700,KY-05,0.3224,0,-0.1889852589706126,87,KY-05,0,0,0,0,0,0,0,0,KY-05,0,0,0,6,0,6,0,0,0,17,0,17,0,0,0,39,0,39,0,0,6,62,6,62,55158,22857,32301,40206,2417,1638,1772,149,62,901,5354,369732,1,1,1,1
Andy Barr,Rep,Kentucky,1973,3,White,Male,1,1,1,1,408968,KY-06,0.0852,0.004,0.8602411282031077,51,KY-06,0,3,0,4,0,7,1,11,KY-06,0,3,0,0,0,3,0,4,0,4,0,8,0,7,0,5,0,12,1,11,0,8,1,19,76836,29954,46882,54965,6571,5459,2236,158,60,3363,2053,125061,0.8,0.6857142857142857,0.6410256410256411,0.6410256410256411
Steve Scalise,Rep,Louisiana,1965,2,White,Male,1,NA,1,1,1099754,LA-01,0.2276,0.011,3.455564971572866,59,LA-01,0,0,0,1,0,1,0,1,LA-01,0,0,3,9,3,9,0,1,3,38,3,39,0,1,4,69,4,70,0,1,8,106,8,107,40607,13217,27390,18057,12559,4630,1339,132,52,1342,1776,181079,1,1,1,1
Troy Carter,Dem,Louisiana,1963,2,Black,Male,0,0,1,0,93850,LA-02,-0.2491,0.008,-0.3236758285316718,61,LA-02,2,7,2,25,3,35,6,49,LA-02,3,9,0,0,3,9,3,29,0,1,3,30,4,39,0,1,4,40,8,55,0,1,8,56,26745,11427,15318,9313,10674,2198,1304,86,41,763,598,86582,-0.5,-0.125,-0.125,-0.125
Clay Higgins,Rep,Louisiana,1961,4,White,Male,1,1,1,1,19350,LA-03,0.2125,0.002,-0.603576733198308,63,LA-03,0,0,0,1,0,1,0,1,LA-03,0,0,0,0,0,0,0,1,1,1,1,2,0,1,1,8,1,9,0,1,1,17,1,18,45527,17003,28524,25918,12010,2343,830,395,49,1853,1127,246014,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333
Mike Johnson,Rep,Louisiana,1972,5,White,Male,1,1,1,1,784621,LA-04,0.1415,0.001,2.271591658951241,52,LA-04,0,0,1,0,1,0,1,0,LA-04,0,0,0,0,0,0,1,0,0,2,1,2,1,0,0,2,1,2,1,0,0,11,1,11,34541,14769,19772,17655,11659,956,769,182,48,1118,1391,247021,NA,NA,NA,NA
Julia Letlow,Rep,Louisiana,1981,2,White,Female,1,1,1,1,113460,LA-05,0.1697,0.002,-0.2499998991288162,43,LA-05,0,0,0,1,0,1,0,1,LA-05,0,0,0,1,0,1,0,1,1,13,1,14,0,1,1,35,1,36,0,1,1,56,1,57,70014,27837,42177,40127,15331,5545,2148,247,43,2519,2542,351210,0.8666666666666667,0.8709677419354839,0.8709677419354839,0.8709677419354839
Garret Graves,Rep,Louisiana,1972,3,Arab,Male,1,1,1,1,111200,LA-06,0.1948,0.001,-0.2584908527468914,52,LA-06,1,2,1,4,1,4,2,6,LA-06,0,0,3,9,3,9,0,0,3,32,3,32,0,0,4,42,4,42,0,0,8,58,8,58,45975,14925,31050,16308,23031,1759,702,344,37,2057,502,182893,1,1,1,1
Chellie Pingree,Dem,Maine,1955,3,White,Female,0,0,0,0,78393,ME-01,-0.0876,0.02,-0.3817486913965334,69,ME-01,3,4,5,23,6,68,7,115,ME-01,3,4,4,3,7,7,5,23,5,24,10,47,6,68,6,88,12,156,7,115,7,162,14,277,39484,14087,25397,28401,2662,2358,1533,228,60,1598,717,254578,0.5,0,0,0
Jared Golden,Dem,Maine,1982,2,White,Male,1,1,1,1,817681,ME-02,0.0557,0.007,2.395800033559012,42,ME-02,2,2,3,12,4,74,4,143,ME-02,2,2,6,18,8,20,3,12,8,50,11,62,4,74,9,120,13,194,4,143,12,212,16,355,42058,17610,24448,31820,1699,1862,664,406,21,1574,1404,281334,NA,0.5,0.5,0.5
Andy Harris,Rep,Maryland,1957,5,White,Male,1,1,0,1,110194,MD-01,0.106,0.01,-0.2622704542246717,67,MD-01,1,0,1,1,1,3,1,3,MD-01,1,0,7,5,8,5,1,1,7,22,8,23,1,3,7,49,8,52,1,3,9,74,10,77,23086,8988,14098,13060,5359,1773,623,65,20,1114,381,199712,NA,0,0,0
Dutch Ruppersberger,Dem,Maryland,1946,2,White,Male,0,0,1,0,76200,MD-02,-0.0747,0.081,-0.3899879220533647,78,MD-02,0,1,0,4,0,4,0,6,MD-02,0,1,4,16,4,17,0,4,11,65,11,69,0,4,22,103,22,107,0,6,34,160,34,166,55860,21326,34534,23629,17253,5314,2971,118,61,2673,2180,192788,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
John Sarbanes,Dem,Maryland,1962,3,White,Male,0,0,1,0,30600,MD-03,-0.0962,0.034,-0.5613098180640844,62,MD-03,0,1,1,7,1,8,1,9,MD-03,0,1,5,16,5,17,1,7,13,55,14,62,1,8,36,78,37,86,1,9,50,127,51,136,27618,12683,14935,10739,5908,3799,2321,66,44,1814,945,308733,NA,NA,NA,NA
Glenn Ivey,Dem,Maryland,1961,6,Black,Male,0,0,1,0,835185,MD-04,-0.3951,0.013,2.461563596448741,63,MD-04,1,1,2,4,2,10,2,21,MD-04,2,1,19,44,21,45,3,4,48,213,51,217,3,10,92,421,95,431,3,21,123,618,126,639,108105,56286,51819,34066,25021,14665,11776,353,526,4823,5912,184870,0.3,0.1666666666666667,0.1666666666666667,0.1666666666666667
Steny Hoyer,Dem,Maryland,1939,3,White,Male,0,0,1,0,1820994,MD-05,-0.1508,0.008,6.165306293475748,85,MD-05,1,0,1,1,1,2,1,2,MD-05,0,0,3,4,3,4,0,1,7,43,7,44,0,2,14,129,14,131,0,2,19,209,19,211,24636,9216,15420,3954,13400,3311,742,82,34,1108,646,145771,0.6333333333333333,0.7741935483870968,0.782608695652174,0.782608695652174
David Trone,Dem,Maryland,1955,4,White,Male,0,0,1,0,99850,MD-06,-0.0197,0.019,-0.3011334737934191,69,MD-06,0,1,0,1,0,1,0,2,MD-06,0,1,1,5,1,6,0,1,3,33,3,34,0,1,16,53,16,54,0,2,19,70,19,72,24666,10033,14633,14006,3738,2970,797,38,27,1304,1132,270032,0,0.8,0.5,0.5
Kweisi Mfume,Dem,Maryland,1948,6,Black,Male,0,0,1,0,171000,MD-07,-0.3011,0.037,-0.03381871718897397,76,MD-07,2,12,8,41,19,52,30,86,MD-07,2,12,0,2,2,14,8,41,1,11,9,52,19,52,1,12,20,64,30,86,1,15,31,101,73779,31725,42054,18614,21098,6101,9366,122,51,2985,12919,83478,0.5,0.2222222222222222,0.2222222222222222,0.2222222222222222
Jamie Raskin,Dem,Maryland,1962,3,Jewish,Male,0,0,0,0,212979,MD-08,-0.2949,0.124,0.1238988677372102,62,MD-08,1,1,2,4,14,9,17,10,MD-08,1,1,20,48,21,49,2,4,49,222,51,226,14,9,82,432,96,441,17,10,110,641,127,651,21687,10548,11139,4680,5008,6104,2548,39,34,852,2266,370073,NA,0.25,-0.125,-0.125
Richard Neal,Dem,Massachusetts,1949,4,White,Male,0,0,1,0,130400,MA-01,-0.0868,0.024,-0.1863553175844831,75,MA-01,4,5,6,26,6,44,7,75,MA-01,4,5,37,33,41,38,6,26,48,123,54,149,6,44,75,242,81,286,7,75,89,444,96,519,35712,13033,22679,18831,3376,7250,1251,87,48,1239,1457,390811,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333
Jim McGovern,Dem,Massachusetts,1959,2,White,Male,0,0,0,0,67375,MA-02,-0.1308,0.032,-0.4231439688142113,65,MA-02,5,10,6,39,14,107,18,152,MA-02,5,10,28,34,33,44,6,39,40,148,46,187,14,107,63,300,77,407,18,152,78,527,96,679,72555,32831,39724,38172,4640,8682,6744,85,51,2823,8204,354234,-0.125,0,-0.1333333333333333,-0.1333333333333333
Lori Trahan,Dem,Massachusetts,1973,5,White,Female,0,0,1,0,47188,MA-03,-0.1141,0.013,-0.4989877213310621,51,MA-03,0,0,0,1,0,7,0,13,MA-03,0,0,13,29,13,29,0,1,18,116,18,117,0,7,36,274,36,281,0,13,46,435,46,448,31548,14956,16592,15718,2881,6578,2548,35,18,883,1345,416813,NA,NA,-1,-1
Jake Auchincloss,Dem,Massachusetts,1988,3,Jewish,Male,0,1,1,0,694051,MA-04,-0.1194,0.102,1.931314814177318,36,MA-04,1,0,2,5,6,11,12,18,MA-04,0,0,22,47,22,47,0,5,35,224,35,229,4,11,66,493,70,504,9,18,99,798,108,816,37936,16379,21557,19530,3261,5230,2574,45,28,1531,3298,378931,0.5882352941176471,0.7096774193548387,0.65625,0.65625
Katherine Clark,Dem,Massachusetts,1963,3,White,Female,0,0,1,0,572808,MA-05,-0.2335,0.074,1.475797694922325,61,MA-05,6,15,14,75,26,171,47,320,MA-05,2,3,14,25,16,28,6,38,20,101,26,139,16,92,38,270,54,362,20,151,66,472,86,623,66726,27602,39124,25556,4477,7183,9139,103,62,2896,12776,324437,NA,NA,NA,NA
Seth Moulton,Dem,Massachusetts,1978,2,White,Male,0,0,1,0,121266,MA-06,-0.1101,0.043,-0.2206722956143496,46,MA-06,3,2,3,12,3,23,3,35,MA-06,3,2,10,17,13,19,3,12,19,95,22,107,3,23,35,235,38,258,3,35,59,437,62,472,35682,13692,21990,19643,2624,6835,2466,59,29,1181,1109,457510,NA,NA,NA,NA
Ayanna Pressley,Dem,Massachusetts,1974,1,Black,Female,0,0,0,0,5,MA-07,-0.35,0.051,-0.6762570419335573,50,MA-07,1,1,1,7,5,43,6,85,MA-07,6,13,11,25,17,38,11,44,17,128,28,172,17,122,38,234,55,356,36,254,52,343,88,597,146716,62675,84041,48209,11288,17372,18567,140,79,5394,36462,176634,NA,-1,-1,-1
Stephen Lynch,Dem,Massachusetts,1955,1,White,Male,0,0,1,0,1500,MA-08,-0.1525,0.046,-0.6706402385446094,69,MA-08,6,20,8,73,15,108,20,139,MA-08,6,20,8,14,14,34,8,73,14,77,22,150,15,108,24,195,39,303,20,139,49,372,69,511,36290,14536,21754,14957,6305,5278,3068,58,27,1184,2928,207413,1,0.4,0.4,0.4
Bill Keating,Dem,Massachusetts,1952,2,White,Male,0,0,1,0,38745,MA-09,-0.0629,0.023,-0.5307085715069065,72,MA-09,2,1,3,28,3,62,4,100,MA-09,2,1,7,20,9,21,3,28,9,80,12,108,3,62,20,121,23,183,4,100,30,159,34,259,22761,10068,12693,14104,2752,2397,606,51,20,1324,1035,108109,0.5,0.5,0.6,0.6
Jack Bergman,Rep,Michigan,1947,5,White,Male,1,1,1,1,95504,MI-01,0.1259,0.005,-0.3174616527421601,77,MI-01,0,0,0,18,0,28,0,39,MI-01,0,0,1,4,1,4,0,18,1,21,1,39,0,28,1,44,1,72,0,39,1,67,1,106,28729,13886,14843,22426,526,949,329,1032,19,1038,925,123627,0.6666666666666666,0.4,0.4,0.4
John Moolenaar,Rep,Michigan,1961,0,White,Male,1,1,1,1,65000,MI-02,0.1648,0.004,-0.4320669842314362,63,MI-02,0,0,0,0,0,0,0,0,MI-02,0,0,0,5,0,5,0,0,2,49,2,49,0,0,2,108,2,108,0,0,2,183,2,183,37509,15285,22224,26243,3041,2335,684,437,25,1106,2031,214733,1,1,1,1
Hillary Scholten,Dem,Michigan,1982,2,White,Female,0,0,1,0,346428,MI-03,-0.0128,0.006,0.625274650648055,42,MI-03,0,1,2,6,2,18,2,27,MI-03,0,1,0,1,0,2,2,6,0,9,2,15,2,18,0,32,2,50,2,27,0,73,2,100,47461,19204,28257,31995,4374,5361,1429,200,36,1796,1369,73523,NA,NA,0,0
